"File","PrimaryModule","ReferencedBy","Disposition","SizeBytes","SHA256","Notes"
"src/activator/rw.dll","vendor-platform","migration review only","ReferenceOnly","790528","2BC4E5699E4EB33592E0E8212108A8C2749A3C658521AA2CA0878CD131F7E991","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/activator/rwactivator.exe","vendor-platform","migration review only","ReferenceOnly","11776","82495CDF121C49811F1FAA58DDFA2A74E52502A6ECDAB39A8074080FEF232B6E","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/.editorconfig","build-distribution","all projects;release packaging","Replace","116","C9D9FB64C858F4DDF20C122B91C9A91961260687909AF15B1A184E75908E5C1B","构建/发布证据；重新建立跨平台项目和离线发布物"
"src/master/记录日志.txt","build-distribution","all projects;release packaging","ReferenceOnly","775","88C9E6099260FB127CA0FE83297DFD6EC8C09603B10319AB139896B985EC660E","构建/发布证据；重新建立跨平台项目和离线发布物"
"src/master/DB/reports/report.xlsx","persistence","XXX.TestBench.Avalonia;IntegrationTests","ReferenceOnly","12874","910445439F30D57F86A4CCA81F14A83109256FEF4A92C16CDDF0FBEF57B026E8","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/DB/SumatraPDF.exe","persistence","XXX.TestBench.Avalonia;IntegrationTests","ReferenceOnly","16065496","290E4AA7ED64C728138711C011E89AAB7AA48DBC1AE430371DC2BE4100B92BF0","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/DB/TestBed.db","persistence","XXX.TestBench.Avalonia;IntegrationTests","ReferenceOnly","125952","E4348F9286E1956DC85713F3286A24FB6E446690AC4AD91964D21C605F3081CE","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/Lib/思源黑体 CN Bold.ttf","vendor-platform","migration review only","ReferenceOnly","8127020","BC92A2A12457CB1034527E8B1D79DA7B0CBFCD7C5F4DF81EEB6FADD5654BA3CB","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Automation.BDaq4.dll","vendor-platform","migration review only","ReferenceOnly","237056","5F4F689E3CDD99E2F62CFDB655E6C6FC11E57B44876895A41988220F9AEBC342","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/Antlr4.Runtime.dll","vendor-platform","migration review only","ReferenceOnly","214528","DF8A7146F8FCB92B7D594C19BB3A11A4FA3A802302F45AE08EF7A3656FC253E5","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/rw3.dll","vendor-platform","migration review only","ReferenceOnly","1166336","E55E29C2531B3D732DFE48B15A7F3051683842826F5D8B59EEAA0E767D22C4A8","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/rw3.pdb","vendor-platform","migration review only","ReferenceOnly","314916","526E8DD9186F22949DD061F37C2263E1DF87A2D8B88613B43440BB5197577C11","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/rw3.xml","vendor-platform","migration review only","ReferenceOnly","431656","0B49C77ACE7AE0CD7E9861F468BA9EF9817021F6C7444ADDF7417F05123BE32A","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/rwdsl2.dll","vendor-platform","migration review only","ReferenceOnly","225280","98905B091E15999CEF3D203A1CD556F74CBC55B84D9016E1DE95A7BDE83C7B8A","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/RWDSLDebugger.dll","vendor-platform","migration review only","ReferenceOnly","28160","2E9C2C8701C5A474670122A5E760AD26FBC8CEB9191C2553A4A8D38D39B3ADA1","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/DSL_DLL/RWDSLDebugger.pdb","vendor-platform","migration review only","ReferenceOnly","9864","6D75B9F883B4E5E9DAE1186A10730429F938516E4D96B01C9CAD9CED03A53D44","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/excel报表打开问题修复.reg","vendor-platform","migration review only","ReferenceOnly","313","1B7BAAD25AE0EA11557B98EEBFDC949463D4154FBF059AE864EFD72F6C253AD3","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
