"LogicalPoint","SourcePath","SourceEvidence","PointKind","PhysicalAddress","Transport","ValueType","LegacySubscription","SourceCapability","LegacyRead","LegacyWrite","ScopeStatus","TargetNodeId","TargetDataAccess","TargetWriteEntry","WritePreconditions","ReadbackOrFailure","FirstSlice","Notes"
"Gateway.Health.NoError","Modules/OpcStatusGrp.cs","OpcStatusGrp.cs:25-31","Gateway health","","Gateway","Boolean","yes","yes","yes","no","Gateway health","Gateway.Health.NoError","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","yes","Derived from old _System._NoError; not a PLC physical point"
"Gateway.Health.Simulated","Modules/OpcStatusGrp.cs","OpcStatusGrp.cs:25-31","Gateway health","","Gateway","Boolean","yes","yes","yes","no","Gateway health","Gateway.Health.Simulated","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","yes","Derived from old _System._Simulated; must be explicit in HMI"
"Modbus.WSD.CH00","Modules/WSDGrp.cs;CurrencyHelper/OPCHelper.cs","WSDGrp.cs:8-50; OPCHelper.cs:44-45","WSD instrument value","300001","Modbus RTU/TCP via NModbus","Variant","yes","yes","yes","yes","ActiveLegacy","Modbus.WSD.CH00","ReadOnlyDataVariable","none (P2); future write requires signed device decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","yes","OPF stores CH00/CH01 and 300001/300002; RTU/TCP transport, function code, byte order and writable semantics are configurable and require P0 device evidence"
"Modbus.WSD.CH01","Modules/WSDGrp.cs;CurrencyHelper/OPCHelper.cs","WSDGrp.cs:8-50; OPCHelper.cs:44-45","WSD instrument value","300002","Modbus RTU/TCP via NModbus","Variant","yes","yes","yes","yes","ActiveLegacy","Modbus.WSD.CH01","ReadOnlyDataVariable","none (P2); future write requires signed device decision","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","OPF stores CH00/CH01 and 300001/300002; RTU/TCP transport, function code, byte order and writable semantics are configurable and require P0 device evidence"
"SMART.PLC.AI.Gain00","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD400","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain00","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain01","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD404","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain01","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain02","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD408","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain02","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain03","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD412","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain03","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain04","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD416","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain04","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain05","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD420","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain05","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain06","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD424","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain06","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain07","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD428","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain07","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain08","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD432","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain08","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain09","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD436","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain09","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
